account_id,customer_class,state,bill_month,billing_days,meter_prev_read,meter_curr_read,kwh_usage,rate_per_kwh,fixed_charge,billed_amount,read_type,is_anomaly,anomaly_type
ACC00001,RES,OH,2025-09,30,36534,37749,1216.0,0.1464,12.0,204.56,ACTUAL,0,
ACC00001,RES,OH,2025-10,31,37749,38823,1074.0,0.1464,12.0,182.09,ACTUAL,0,
ACC00001,RES,OH,2025-11,30,38823,39909,1086.3,0.1464,12.0,184.04,ACTUAL,0,
ACC00001,RES,OH,2025-12,31,39909,41090,1181.4,0.1464,12.0,199.09,ACTUAL,0,
ACC00001,RES,OH,2026-01,31,41090,42464,1374.4,0.1464,12.0,229.65,ACTUAL,0,
ACC00001,RES,OH,2026-02,28,42464,43606,1142.6,0.1464,12.0,192.94,ACTUAL,0,
ACC00001,RES,OH,2026-03,31,43606,44690,1084.0,0.1464,12.0,183.67,ACTUAL,0,
ACC00001,RES,OH,2026-04,30,44690,45650,960.5,0.1464,12.0,164.11,ACTUAL,0,
ACC00001,RES,OH,2026-05,31,45650,46784,1134.4,0.1464,12.0,191.65,ACTUAL,0,
ACC00001,RES,OH,2026-06,30,46784,48116,1332.5,0.1464,12.0,223.01,ACTUAL,0,
ACC00002,RES,AZ,2024-07,31,30813,32359,1546.4,0.1413,12.0,249.07,ACTUAL,0,
ACC00002,RES,AZ,2024-08,31,32359,33750,1391.9,0.1413,12.0,225.38,ACTUAL,0,
ACC00002,RES,AZ,2024-09,30,33750,34939,1189.2,0.1413,12.0,194.3,ACTUAL,0,
ACC00002,RES,AZ,2024-10,31,34939,35835,896.5,0.1413,12.0,149.43,ACTUAL,0,
ACC00002,RES,AZ,2024-11,30,35835,36698,863.4,0.1413,12.0,144.36,ACTUAL,0,
ACC00002,RES,AZ,2024-12,31,36698,37574,876.4,0.1413,12.0,146.36,ACTUAL,0,
ACC00002,RES,AZ,2025-01,31,37574,38457,883.2,0.1413,12.0,147.39,ACTUAL,0,
ACC00002,RES,AZ,2025-02,28,38457,39314,857.4,0.1413,12.0,143.43,ACTUAL,0,
ACC00002,RES,AZ,2025-03,31,39314,40132,818.6,0.1413,12.0,137.49,ACTUAL,0,
ACC00002,RES,AZ,2025-04,30,40132,40892,760.2,0.1413,12.0,128.54,ACTUAL,0,
ACC00002,RES,AZ,2025-05,31,40892,41760,868.6,0.4184,12.0,385.83,ACTUAL,1,WRONG_RATE
ACC00002,RES,AZ,2025-06,30,41760,43044,1284.1,0.1413,12.0,208.85,ACTUAL,0,
ACC00002,RES,AZ,2025-07,31,43044,44709,1665.3,0.1413,12.0,267.3,ACTUAL,0,
ACC00002,RES,AZ,2025-08,31,44709,45946,1237.7,0.1413,12.0,201.73,ACTUAL,0,
ACC00002,RES,AZ,2025-09,30,45946,46968,1022.4,0.1413,12.0,168.73,ACTUAL,0,
ACC00002,RES,AZ,2025-10,31,46968,47806,838.1,0.1413,12.0,140.49,ACTUAL,0,
ACC00002,RES,AZ,2025-11,30,47806,48627,821.6,0.1413,12.0,137.95,ACTUAL,0,
ACC00002,RES,AZ,2025-12,31,48627,49543,916.2,0.1413,12.0,152.46,ACTUAL,0,
ACC00002,RES,AZ,2026-01,31,49543,50463,920.7,0.1413,12.0,153.14,ACTUAL,0,
ACC00002,RES,AZ,2026-02,28,50463,51322,859.7,0.1413,12.0,143.79,ACTUAL,0,
ACC00002,RES,AZ,2026-03,31,51322,52145,823.5,0.1413,12.0,138.24,ACTUAL,0,
ACC00002,RES,AZ,2026-04,30,52145,52880,735.4,0.1413,12.0,124.74,ACTUAL,0,
ACC00002,RES,AZ,2026-05,31,52880,53748,868.4,0.1413,12.0,145.13,ACTUAL,0,
ACC00002,RES,AZ,2026-06,30,53748,54875,1127.9,0.1413,12.0,184.91,ACTUAL,0,
ACC00003,RES,FL,2024-07,31,36517,37684,1167.2,0.1486,12.0,199.4,ACTUAL,0,
ACC00003,RES,FL,2024-08,31,37684,38897,1213.4,0.1486,12.0,206.82,ACTUAL,0,
ACC00003,RES,FL,2024-09,30,38897,39919,1022.5,0.1486,12.0,176.17,ACTUAL,0,
ACC00003,RES,FL,2024-10,31,39919,40888,969.5,0.1486,12.0,167.67,ACTUAL,0,
ACC00003,RES,FL,2024-11,30,40888,41750,862.3,0.1486,12.0,150.44,ACTUAL,0,
ACC00003,RES,FL,2024-12,31,41750,42669,919.7,0.1486,12.0,159.67,ACTUAL,0,
ACC00003,RES,FL,2025-01,31,42669,43438,334.4,0.1486,12.0,65.7,ESTIMATED,1,ESTIMATED_CATCHUP
ACC00003,RES,FL,2025-02,28,43438,44205,767.1,0.1486,12.0,135.17,ACTUAL,0,
ACC00003,RES,FL,2025-03,31,44205,45058,853.2,0.1486,12.0,148.98,ACTUAL,0,
ACC00003,RES,FL,2025-04,30,45058,45675,617.8,0.1486,12.0,111.2,ACTUAL,0,
ACC00003,RES,FL,2025-05,31,45675,46653,978.5,0.1486,12.0,169.11,ACTUAL,0,
ACC00003,RES,FL,2025-06,30,46653,47606,953.1,0.1486,12.0,165.04,ACTUAL,0,
ACC00003,RES,FL,2025-07,31,47606,49032,1426.7,0.1486,12.0,241.08,ACTUAL,0,
ACC00003,RES,FL,2025-08,31,49032,50274,1242.6,0.1486,12.0,211.51,ACTUAL,0,
ACC00003,RES,FL,2025-09,30,50274,51491,1217.5,0.1486,12.0,207.49,ACTUAL,0,
ACC00003,RES,FL,2025-10,31,51491,52639,1148.2,0.1486,12.0,196.36,ACTUAL,0,
ACC00003,RES,FL,2025-11,30,52639,53330,691.9,0.1486,12.0,123.09,ACTUAL,0,
ACC00003,RES,FL,2025-12,31,53330,54255,925.6,0.1486,12.0,160.62,ACTUAL,0,
ACC00003,RES,FL,2026-01,31,54255,55026,771.8,0.2967,12.0,250.25,ACTUAL,1,WRONG_RATE
ACC00003,RES,FL,2026-02,28,55026,55926,900.1,0.1486,12.0,156.52,ACTUAL,0,
ACC00003,RES,FL,2026-03,31,55926,56722,796.8,0.1486,12.0,139.93,ACTUAL,0,
ACC00003,RES,FL,2026-04,30,56722,57524,802.6,0.1486,12.0,140.87,ACTUAL,0,
ACC00003,RES,FL,2026-05,31,57524,58350,826.2,0.1486,12.0,144.66,ACTUAL,0,
ACC00003,RES,FL,2026-06,30,58350,59535,1185.6,0.1486,12.0,202.36,ACTUAL,0,
ACC00004,RES,FL,2024-07,31,20456,22266,1810.3,0.139,12.0,285.3,ACTUAL,0,
ACC00004,RES,FL,2024-08,31,22266,24518,2252.7,0.139,12.0,352.1,ACTUAL,0,
ACC00004,RES,FL,2024-09,30,24518,26182,1664.4,0.139,12.0,263.28,ACTUAL,0,
ACC00004,RES,FL,2024-10,31,26182,27424,1242.6,0.139,12.0,199.61,ACTUAL,0,
ACC00004,RES,FL,2024-11,30,27424,28884,1460.8,0.139,12.0,232.54,ACTUAL,0,
ACC00004,RES,FL,2024-12,31,28884,30219,1336.0,0.139,12.0,213.7,ACTUAL,0,
ACC00004,RES,FL,2025-01,31,30219,31812,1593.3,0.139,12.0,252.55,ACTUAL,0,
ACC00004,RES,FL,2025-02,28,31812,36388,4576.1,0.139,12.0,702.99,ACTUAL,1,USAGE_SPIKE
ACC00004,RES,FL,2025-03,31,33275,34436,1161.9,0.139,12.0,187.41,ACTUAL,0,
ACC00004,RES,FL,2025-04,30,34436,35644,1208.7,0.139,12.0,194.48,ACTUAL,0,
ACC00004,RES,FL,2025-05,31,35644,37022,1378.5,0.139,12.0,220.12,ACTUAL,0,
ACC00004,RES,FL,2025-06,30,37022,38940,1918.2,0.139,12.0,301.6,ACTUAL,0,
ACC00004,RES,FL,2025-07,31,38940,41059,2119.2,0.139,12.0,331.94,ACTUAL,0,
ACC00004,RES,FL,2025-08,31,41059,43137,2078.0,0.139,12.0,325.73,ACTUAL,0,
ACC00004,RES,FL,2025-09,30,43137,44830,1693.2,0.139,12.0,267.63,ACTUAL,0,
ACC00004,RES,FL,2025-10,31,44830,46224,1394.0,0.139,12.0,222.46,ACTUAL,0,
ACC00004,RES,FL,2025-11,30,46224,47654,1430.7,0.139,12.0,227.99,ACTUAL,0,
ACC00004,RES,FL,2025-12,31,47654,48997,1343.6,0.139,12.0,214.85,ACTUAL,0,
ACC00004,RES,FL,2026-01,31,48997,50335,1338.7,0.139,12.0,214.11,ACTUAL,0,
ACC00004,RES,FL,2026-02,28,50335,51608,1273.2,0.139,12.0,204.21,ACTUAL,0,
ACC00004,RES,FL,2026-03,31,51608,52794,1186.1,0.139,12.0,191.07,ACTUAL,0,
ACC00004,RES,FL,2026-04,30,52794,53874,1080.4,0.139,12.0,175.12,ACTUAL,0,
ACC00004,RES,FL,2026-05,31,53874,55157,1283.3,0.139,12.0,205.75,ACTUAL,0,
ACC00004,RES,FL,2026-06,30,55157,57071,1914.4,0.139,12.0,301.03,ACTUAL,0,
ACC00005,RES,OH,2024-07,31,40674,41913,1239.7,0.149,12.0,211.56,ACTUAL,0,
ACC00005,RES,OH,2024-08,31,41913,43245,1333.0,0.149,12.0,226.58,ACTUAL,0,
ACC00005,RES,OH,2024-09,30,43245,44163,918.3,0.149,12.0,159.83,ACTUAL,0,
ACC00005,RES,OH,2024-10,31,44163,45253,1090.8,0.149,12.0,187.59,ACTUAL,0,
ACC00005,RES,OH,2024-11,30,45253,46280,1027.7,0.149,12.0,177.43,ACTUAL,0,
ACC00005,RES,OH,2024-12,31,46280,47342,1063.0,0.149,12.0,183.12,ACTUAL,0,
ACC00005,RES,OH,2025-01,31,47342,48501,1159.5,0.149,12.0,198.66,ACTUAL,0,
ACC00005,RES,OH,2025-02,28,48501,49559,1058.2,0.149,12.0,182.35,ACTUAL,0,
ACC00005,RES,OH,2025-03,31,49559,50406,847.6,0.149,12.0,148.45,ACTUAL,0,
ACC00005,RES,OH,2025-04,30,50406,51454,1048.2,0.149,12.0,180.74,ACTUAL,0,
ACC00005,RES,OH,2025-05,31,51454,52488,1034.6,0.149,12.0,178.55,ACTUAL,0,
ACC00005,RES,OH,2025-06,30,52488,53595,1107.6,0.149,12.0,190.31,ACTUAL,0,
ACC00005,RES,OH,2025-07,31,53595,54758,1163.1,0.149,12.0,199.23,ACTUAL,0,
ACC00005,RES,OH,2025-08,31,54758,61848,7090.8,0.149,12.0,1153.62,ACTUAL,1,USAGE_SPIKE
ACC00005,RES,OH,2025-09,30,55871,57037,1166.0,0.149,12.0,199.7,ACTUAL,0,
ACC00005,RES,OH,2025-10,31,57037,58214,1178.0,0.149,12.0,201.63,ACTUAL,0,
ACC00005,RES,OH,2025-11,30,58214,59272,1058.0,0.149,12.0,182.32,ACTUAL,0,
ACC00005,RES,OH,2025-12,31,59272,60255,983.3,0.149,12.0,170.28,ACTUAL,0,
ACC00005,RES,OH,2026-01,31,60255,61418,1163.5,0.149,12.0,199.31,ACTUAL,0,
ACC00005,RES,OH,2026-02,28,61418,62515,1097.2,0.149,12.0,188.63,ACTUAL,0,
ACC00005,RES,OH,2026-03,31,62515,63606,1091.7,0.149,12.0,187.74,ACTUAL,0,
ACC00005,RES,OH,2026-04,30,63606,64629,1023.5,0.149,12.0,176.77,ACTUAL,0,
ACC00005,RES,OH,2026-05,31,64629,65401,772.4,0.149,12.0,136.35,ACTUAL,0,
ACC00005,RES,OH,2026-06,30,65401,66586,1185.7,0.149,12.0,202.88,ACTUAL,0,
ACC00006,RES,TX,2024-07,31,35555,37832,2277.6,0.1463,12.0,372.56,ACTUAL,0,
ACC00006,RES,TX,2024-08,31,37832,40028,2196.5,0.1463,12.0,359.72,ACTUAL,0,
ACC00006,RES,TX,2024-09,30,40028,42077,2049.8,0.1463,12.0,336.5,ACTUAL,0,
ACC00006,RES,TX,2024-10,31,42077,43825,1748.6,0.1463,12.0,288.81,ACTUAL,0,
ACC00006,RES,TX,2024-11,30,43825,45186,1361.2,0.1463,12.0,227.48,ACTUAL,0,
ACC00006,RES,TX,2024-12,31,45186,46902,1716.2,0.1463,12.0,283.68,ACTUAL,0,
ACC00006,RES,TX,2025-01,31,46902,48676,1774.1,0.1463,12.0,292.84,ACTUAL,0,
ACC00006,RES,TX,2025-02,28,48676,50294,1618.8,0.1463,12.0,268.26,ACTUAL,0,
ACC00006,RES,TX,2025-03,31,50294,51690,1396.9,0.1463,12.0,233.14,ACTUAL,0,
ACC00006,RES,TX,2025-04,30,51690,53046,1356.6,0.1463,12.0,226.75,ACTUAL,0,
ACC00006,RES,TX,2025-05,31,53046,54832,1786.8,0.1463,12.0,294.86,ACTUAL,0,
ACC00006,RES,TX,2025-06,30,54832,56649,1817.6,0.1463,12.0,299.74,ACTUAL,0,
ACC00006,RES,TX,2025-07,31,56649,59336,2687.3,0.1463,12.0,437.41,ACTUAL,0,
ACC00006,RES,TX,2025-08,31,59336,61781,2445.7,0.1463,12.0,399.16,ACTUAL,0,
ACC00006,RES,TX,2025-09,30,61781,63846,2065.3,0.1463,12.0,338.94,ACTUAL,0,
ACC00006,RES,TX,2025-10,31,63846,65307,1461.6,0.1463,12.0,243.37,ACTUAL,0,
ACC00006,RES,TX,2025-11,30,65307,66855,1548.5,0.1463,12.0,257.13,ACTUAL,0,
ACC00006,RES,TX,2025-12,31,66855,68559,1704.4,0.1463,12.0,281.81,ACTUAL,0,
ACC00006,RES,TX,2026-01,31,68559,70052,1493.2,0.1463,12.0,248.38,ACTUAL,0,
ACC00006,RES,TX,2026-02,28,70052,81441,11389.3,0.1463,12.0,1814.93,ACTUAL,1,USAGE_SPIKE
ACC00006,RES,TX,2026-03,31,71729,73240,1511.8,0.2882,12.0,465.87,ACTUAL,1,WRONG_RATE
ACC00006,RES,TX,2026-04,30,73240,74636,1396.1,0.1463,12.0,233.0,ACTUAL,0,
ACC00006,RES,TX,2026-05,31,74636,76400,1764.2,0.1463,12.0,291.28,ACTUAL,0,
ACC00006,RES,TX,2026-06,30,76400,78103,1703.3,0.1463,12.0,281.65,ACTUAL,0,
ACC00007,RES,AZ,2024-07,31,16665,18375,1710.8,0.1394,12.0,270.93,ACTUAL,0,
ACC00007,RES,AZ,2024-08,31,18375,20256,1881.7,0.1394,12.0,296.8,ACTUAL,0,
ACC00007,RES,AZ,2024-09,30,20256,21798,1542.1,0.1394,12.0,245.41,ACTUAL,0,
ACC00007,RES,AZ,2024-10,31,21798,22936,1138.4,0.1394,12.0,184.3,ACTUAL,0,
ACC00007,RES,AZ,2024-11,30,22936,23919,983.3,0.1394,12.0,160.83,ACTUAL,0,
ACC00007,RES,AZ,2024-12,31,23919,24906,987.0,0.1394,12.0,161.39,ACTUAL,0,
ACC00007,RES,AZ,2025-01,31,24906,25949,1043.3,0.1394,12.0,169.91,ACTUAL,0,
ACC00007,RES,AZ,2025-02,28,25949,30728,4779.3,0.1394,12.0,735.59,ACTUAL,1,USAGE_SPIKE
ACC00007,RES,AZ,2025-03,31,27025,27923,898.9,0.1394,12.0,148.05,ACTUAL,0,
ACC00007,RES,AZ,2025-04,30,27923,28927,1004.3,0.1394,12.0,164.0,ACTUAL,0,
ACC00007,RES,AZ,2025-05,31,28927,30188,1261.2,0.1394,12.0,202.88,ACTUAL,0,
ACC00007,RES,AZ,2025-06,30,30188,31555,1367.3,0.1394,12.0,218.95,ACTUAL,0,
ACC00007,RES,AZ,2025-07,31,31555,33040,1485.6,0.1394,12.0,236.85,ACTUAL,0,
ACC00007,RES,AZ,2025-08,31,33040,34526,1486.7,0.1394,12.0,237.01,ACTUAL,0,
ACC00007,RES,AZ,2025-09,30,34526,35994,1468.7,0.1394,12.0,234.3,ACTUAL,0,
ACC00007,RES,AZ,2025-10,31,35994,37092,1098.7,0.1394,12.0,178.29,ACTUAL,0,
ACC00007,RES,AZ,2025-11,30,37092,38170,1078.3,0.1394,12.0,175.21,ACTUAL,0,
ACC00007,RES,AZ,2025-12,31,38170,39165,995.5,0.1394,12.0,162.68,ACTUAL,0,
ACC00007,RES,AZ,2026-01,31,39165,40305,1140.3,0.1394,12.0,184.59,ACTUAL,0,
ACC00007,RES,AZ,2026-02,28,40305,41323,1018.4,0.1394,12.0,166.14,ACTUAL,0,
ACC00007,RES,AZ,2026-03,31,41323,42227,904.6,0.1394,12.0,148.92,ACTUAL,0,
ACC00007,RES,AZ,2026-04,30,42227,43143,916.5,0.1394,12.0,150.72,ACTUAL,0,
ACC00007,RES,AZ,2026-05,31,43143,44117,974.1,0.1394,12.0,159.44,ACTUAL,0,
ACC00007,RES,AZ,2026-06,30,44117,45709,1592.8,0.1394,12.0,253.08,ACTUAL,0,
ACC00008,RES,CA,2024-07,31,47545,49271,1726.3,0.1389,12.0,272.51,ACTUAL,0,
ACC00008,RES,CA,2024-08,31,49271,51102,1831.3,0.1389,12.0,288.35,ACTUAL,0,
ACC00008,RES,CA,2024-09,30,51102,49820,-1282.0,0.1389,12.0,236.01,ACTUAL,1,NEGATIVE_READ_ROLLBACK
ACC00008,RES,CA,2024-10,31,52586,53847,1261.1,0.1389,12.0,202.3,ACTUAL,0,
ACC00008,RES,CA,2024-11,30,53847,55174,1327.1,0.1389,12.0,212.26,ACTUAL,0,
ACC00008,RES,CA,2024-12,31,55174,56729,1555.1,0.1389,12.0,246.67,ACTUAL,0,
ACC00008,RES,CA,2025-01,31,56729,58143,1414.7,0.1389,12.0,225.49,ACTUAL,0,
ACC00008,RES,CA,2025-02,28,58143,59467,1324.2,0.1389,12.0,211.83,ACTUAL,0,
ACC00008,RES,CA,2025-03,31,59467,60803,1336.6,0.1389,12.0,213.69,ACTUAL,0,
ACC00008,RES,CA,2025-04,30,60803,62122,1319.2,0.1389,12.0,211.07,ACTUAL,0,
ACC00008,RES,CA,2025-05,31,62122,63638,1516.4,0.1389,12.0,240.82,ACTUAL,0,
ACC00008,RES,CA,2025-06,30,63638,65220,1582.7,0.1389,12.0,250.83,ACTUAL,0,
ACC00008,RES,CA,2025-07,31,65220,67049,1829.4,0.1389,12.0,288.06,ACTUAL,0,
ACC00008,RES,CA,2025-08,31,67049,68890,1841.7,0.1389,12.0,289.92,ACTUAL,0,
ACC00008,RES,CA,2025-09,30,68890,70298,1408.0,0.1389,12.0,224.48,ACTUAL,0,
ACC00008,RES,CA,2025-10,31,70298,71568,1270.9,0.1389,12.0,203.78,ACTUAL,0,
ACC00008,RES,CA,2025-11,30,71568,72803,1235.1,0.1389,12.0,198.39,ACTUAL,0,
ACC00008,RES,CA,2025-12,31,72803,74079,1276.9,0.1389,12.0,204.69,ACTUAL,0,
ACC00008,RES,CA,2026-01,31,74079,75649,1570.2,0.1389,12.0,248.94,ACTUAL,0,
ACC00008,RES,CA,2026-02,28,75649,77105,1456.4,0.1389,12.0,231.78,ACTUAL,0,
ACC00008,RES,CA,2026-03,31,77105,78433,1328.6,0.1389,12.0,212.48,ACTUAL,0,
ACC00008,RES,CA,2026-04,30,78433,79438,1005.4,0.1389,12.0,163.72,ACTUAL,0,
ACC00008,RES,CA,2026-05,31,79438,80998,1560.6,0.1389,12.0,247.5,ACTUAL,0,
ACC00008,RES,CA,2026-06,30,80998,82426,1429.0,0.1389,12.0,227.64,ACTUAL,0,
ACC00009,RES,TX,2024-07,31,11754,13842,2088.4,0.1486,12.0,347.47,ACTUAL,0,
ACC00009,RES,TX,2024-08,31,13842,15429,1587.2,0.1486,12.0,266.97,ACTUAL,0,
ACC00009,RES,TX,2024-09,30,15429,16838,1409.7,0.1486,12.0,238.44,ACTUAL,0,
ACC00009,RES,TX,2024-10,31,16838,17848,1010.2,0.1486,12.0,174.28,ACTUAL,0,
ACC00009,RES,TX,2024-11,30,17848,19015,1167.9,0.1486,12.0,199.61,ACTUAL,0,
ACC00009,RES,TX,2024-12,31,19015,20088,1073.2,0.1486,12.0,184.4,ACTUAL,0,
ACC00009,RES,TX,2025-01,31,20088,21195,1107.2,0.1486,12.0,189.86,ACTUAL,0,
ACC00009,RES,TX,2025-02,28,21195,22234,1040.0,0.1486,12.0,179.06,ACTUAL,0,
ACC00009,RES,TX,2025-03,31,22234,23389,1155.0,0.1486,12.0,197.54,ACTUAL,0,
ACC00009,RES,TX,2025-04,30,23389,24515,1126.9,0.1486,12.0,193.03,ACTUAL,0,
ACC00009,RES,TX,2025-05,31,24515,25884,1369.6,0.1486,12.0,232.01,ACTUAL,0,
ACC00009,RES,TX,2025-06,30,25884,27299,1415.6,0.1486,12.0,239.4,ACTUAL,0,
ACC00009,RES,TX,2025-07,31,27299,29124,1825.3,0.1486,12.0,305.22,ACTUAL,0,
ACC00009,RES,TX,2025-08,31,29124,30734,1610.2,0.1486,12.0,270.66,ACTUAL,0,
ACC00009,RES,TX,2025-09,30,30734,32201,1467.2,0.1486,12.0,247.69,ACTUAL,0,
ACC00009,RES,TX,2025-10,31,32201,33376,1175.4,0.1486,12.0,200.82,ACTUAL,0,
ACC00009,RES,TX,2025-11,30,33376,34553,1177.2,0.3967,12.0,493.1,ACTUAL,1,WRONG_RATE
ACC00009,RES,TX,2025-12,31,34553,35825,1272.6,0.1486,12.0,216.43,ACTUAL,0,
ACC00009,RES,TX,2026-01,31,35825,37132,1307.2,0.1486,12.0,221.98,ACTUAL,0,
ACC00009,RES,TX,2026-02,28,37132,38221,1089.5,0.1486,12.0,187.01,ACTUAL,0,
ACC00009,RES,TX,2026-03,31,38221,39395,1174.3,0.1486,12.0,200.63,ACTUAL,0,
ACC00009,RES,TX,2026-04,30,39395,40457,1062.5,0.1486,12.0,182.67,ACTUAL,0,
ACC00009,RES,TX,2026-05,31,40457,41622,1165.1,0.1486,12.0,199.16,ACTUAL,0,
ACC00009,RES,TX,2026-06,30,41622,43034,1412.9,0.3758,12.0,559.89,ACTUAL,1,WRONG_RATE
ACC00010,RES,IL,2024-07,31,36149,37634,1485.3,0.142,12.0,240.74,ACTUAL,0,
ACC00010,RES,IL,2024-08,31,37634,51672,14038.3,0.142,12.0,2173.9,ACTUAL,1,USAGE_SPIKE
ACC00010,RES,IL,2024-09,30,39407,40854,1447.9,0.142,12.0,234.97,ACTUAL,0,
ACC00010,RES,IL,2024-10,31,40854,42159,1305.1,0.142,12.0,212.98,ACTUAL,0,
ACC00010,RES,IL,2024-11,30,42159,43416,1257.4,0.142,12.0,205.63,ACTUAL,0,
ACC00010,RES,IL,2024-12,31,43416,45046,1630.7,0.142,12.0,263.13,ACTUAL,0,
ACC00010,RES,IL,2025-01,31,45046,46603,1557.2,0.142,12.0,251.8,ACTUAL,0,
ACC00010,RES,IL,2025-02,28,46603,47883,1281.0,0.142,12.0,209.27,ACTUAL,0,
ACC00010,RES,IL,2025-03,31,47883,49115,1232.1,0.142,12.0,201.74,ACTUAL,0,
ACC00010,RES,IL,2025-04,30,49115,50298,1183.6,0.142,12.0,194.27,ACTUAL,0,
ACC00010,RES,IL,2025-05,31,50298,51564,1266.6,0.142,12.0,207.05,ACTUAL,0,
ACC00010,RES,IL,2025-06,30,51564,52887,1323.0,0.142,12.0,215.74,ACTUAL,0,
ACC00010,RES,IL,2025-07,31,52887,54496,1609.6,0.142,12.0,259.87,ACTUAL,0,
ACC00010,RES,IL,2025-08,31,54496,56233,1737.5,0.142,12.0,279.57,ACTUAL,0,
ACC00010,RES,IL,2025-09,30,56233,57497,1264.6,0.142,12.0,206.75,ACTUAL,0,
ACC00010,RES,IL,2025-10,31,57497,58667,1170.9,0.142,12.0,192.32,ACTUAL,0,
ACC00010,RES,IL,2025-11,30,58667,59901,1234.7,0.142,12.0,202.14,ACTUAL,0,
ACC00010,RES,IL,2025-12,31,59901,61217,1316.2,0.142,12.0,214.69,ACTUAL,0,
ACC00010,RES,IL,2026-01,31,61217,62852,1635.4,0.142,12.0,263.85,ACTUAL,0,
